itemName,price,image,quantity
Houser Short Sleeve Buttondown Shirt,44.5,https://images.vans.com/is/image/Vans/0MYTT7-HERO?$496x496$,100
Checker Camp Short Sleeve Buttondown Shirt,49.5,https://images.vans.com/is/image/Vans/W3HYB2-HERO?$496x496$,100
Mo Betta Camp Buttondown Shirt,54.5,https://images.vans.com/is/image/Vans/WB8V61-HERO?$496x496$,100
Arachnofloria Buttondown Shirt,44.5,https://images.vans.com/is/image/Vans/WB7IZQ-HERO?$496x496$,100
Reign The Lightning Camp Buttondown Shirt,49.5,https://images.vans.com/is/image/Vans/WCHBLK-HERO?$496x496$,100
Blazin' Tee,22,https://us.elementbrand.com/media/filter/xl/img/41828e2c0396270ba80700ff5702f87b.jpg,100
Liquid Icon Tee,22,https://us.elementbrand.com/media/filter/m/img/ac0d3a5d53a0d5d7e40697ebf43d8521.jpg,100
Medallion Tee,25,https://us.elementbrand.com/media/filter/xl/img/8be36020c37e052bb02e57ca358a37cb.jpg,100
Victory Tee,25,https://us.elementbrand.com/media/filter/xl/img/783bf36e67d40a130f5057e751c1eb70.jpg,100
Hoffman Panel Tank Top,28,https://us.elementbrand.com/media/filter/m/img/untitled_2_9.jpg,100
Boxed Out Tank Top,8.89,https://cdn.shopify.com/s/files/1/0340/3381/products/young-and-reckless-mens-tops-tanks-boxed-out-tank-top-carolina-blue-s-carolina-blue-7512625643623_800x.jpg?v=1559160507,100
Against Odds Tee,14.97,https://cdn.shopify.com/s/files/1/0340/3381/products/young-and-reckless-mens-tops-graphic-tee-against-odds-tee-mint-tie-dye-s-mint-tie-dye-7325840113767_2000x.jpg?v=1555634332,100
Hamilton Tee,10,https://cdn.shopify.com/s/files/1/0340/3381/products/young-and-reckless-mens-tees-basic-tee-hamilton-tee-grey-3537809309822_2000x.jpg?v=1530065598,100
Devina Crewneck,14.98,https://cdn.shopify.com/s/files/1/0340/3381/products/reckless-girls-womens-tops-sweatshirts-davina-crewneck-white-black-3550018928766_800x.jpg?v=1540399339,100
